w,b,Generation,Error,Mutation
1.6651906167440913,16,1545,1184.9999558901059,87
1.7633854053899451,10,2206,1147.6024140660643,99
1.7536759408155485,3,327,1157.612506049884,23
1.6822942348827534,7,1162,1174.327220676211,58
1.8304171489265257,13,801,1217.7122027132946,41
1.9358748081966566,5,7375,1171.217688853808,312
1.8749702158172192,5,5727,1138.0449893842588,201
1.8660367869051904,0,220,1127.2795918503925,7
1.8858743588325015,5,2,1142.1939085142099,0
1.7737352592700164,10,2,1149.0606329487862,0
1.8059308928108684,14,226,1216.6510654070937,11
1.5666972377765305,18,4636,1213.241153031779,225
1.8634129509842081,2,1285,1124.5102891600466,56
1.7182268798889526,8,15,1149.5576576571211,1
1.8541542067193808,7,570,1147.1192879468667,16
1.7205367845302082,3,1896,1182.7540411637497,81
1.8634239273746105,6,4179,1141.8338551503625,166
1.7946816716074494,1,1154,1149.434940541873,51
1.8899268489860903,7,2418,1165.8443754608825,102
1.6124163222547374,13,4256,1189.742543478762,178
1.7672672316883329,10,935,1148.0668937350013,74
1.7065005920420486,16,262,1192.9192881766749,23
1.6641768370795837,18,562,1206.1575079261488,38
1.6703891980337136,18,3215,1207.821206619258,225
1.5863613858659795,16,4025,1200.984316648777,308
1.656294321669445,9,732,1178.9851005827834,51
1.8346249136645065,0,3775,1137.0838753439427,324
1.7301354143121386,13,159,1166.0840227644371,15
1.8156150968322184,6,262,1131.751850751143,14
1.964643862954297,0,466,1138.5993798610152,41
1.5549582588542241,18,2,1218.3040241098468,0
1.7902731473197093,12,875,1175.028846198506,74
1.8523141428070704,0,271,1130.7656611008717,29
1.7328320800712558,13,89,1166.6082836251887,7
1.7682045264656225,8,1449,1138.3853808020694,96
1.59987059507888,11,3635,1209.1516506153107,311
1.9292842782493167,0,175,1127.1969727551584,10
1.8869075321827187,3,2,1129.3158258830902,0
1.9292442916298036,4,73,1154.5774655777243,6
1.9050311042742205,9,265,1209.1740441266643,17
1.7123724996189542,14,799,1172.2008937646667,335
1.7615075119370576,8,43,1138.9307422813781,18
1.588350501753566,15,455,1199.980417045139,167
1.7187144886549843,16,77,1197.407293250187,33
2.0347242272197272,2,62,1216.0402636842787,23
1.6703889408244565,10,307,1166.0570913580614,126
1.7577135630773455,3,4,1155.0421736290461,4
1.649431121348666,12,484,1172.3491905766987,197
1.905410006219423,3,143,1134.6044183319057,60
1.6590183387111135,6,147,1203.8308508798045,58
2.0344278762465438,0,27,1185.1947974769623,10
1.6008795508022657,18,759,1203.6528564868877,295
1.8941925976324154,5,238,1145.883936238702,90
1.8288202080141944,10,89,1168.6569865096906,37
1.5684536016551056,16,12,1210.3036706079931,7
1.781280033550324,7,108,1134.9707750114137,36
1.8224902790500086,6,98,1132.2776371981824,48
1.8315711072042669,13,364,1218.690638673794,161
1.6106156848819926,14,43,1189.1140258383791,17
1.8709252495034243,10,1106,1197.0724667964848,441
1.6135103806021522,9,8,1214.7455982282556,12
1.6236711924458613,18,97,1201.5234189458101,70
1.7198960443859894,4,160,1172.4329255299112,138
1.6192285241137439,12,52,1188.7370912684607,44
1.6667519998600797,13,36,1167.5141538726607,33
1.8915966408925544,8,25,1181.0437786627515,16
1.7291080678345057,7,98,1147.6946654344993,65
1.9697231501129968,1,100,1148.76632272445,78
1.7979170272957685,13,28,1193.746864325873,22
1.7075168672404608,17,31,1207.1515232978024,27
1.7537380112771528,6,262,1140.9883713679922,213
1.7463003524293002,7,10,1141.5271146792368,7
1.9209686708101743,8,9,1205.9311460954702,8
1.6112828002954056,14,156,1188.7817094173647,127
1.7026534749512718,17,94,1205.1232391307924,83
1.562703180980131,15,75,1216.1833230915806,66
1.732697040395287,1,350,1197.9128106363817,280
1.9455750759989505,6,16,1194.2138569647043,9
1.7243124492309936,14,6,1174.6738009615265,6
1.6395111577436912,10,70,1184.743894203253,49
