w,b,Generation,Error,Mutation
1.868525398,4,1315,1130.123916,96
1.619630871,12,2430,1188.479409,191
1.8698553,2,4,1124.464827,1
1.748450415,12,1096,1160.63531,77
1.849676744,10,664,1181.277313,70
1.672170355,11,335,1163.566902,32
1.608341994,15,228,1190.346453,19
1.729709412,5,19,1157.259717,2
1.922886462,4,154,1150.882115,12
1.611720026,17,74,1195.802343,7
1.778532971,10,864,1149.97522,62
1.586936507,12,2289,1212.885066,199
1.747423904,12,267,1160.426455,27
1.694172177,14,616,1170.232594,39
1.610940996,13,902,1190.616452,83
1.892685121,7,16,1167.637151,4
1.655495155,7,196,1196.050864,15
1.901722247,7,874,1173.860962,68
1.600403441,12,503,1201.982071,47
1.730705357,4,910,1164.464372,65
1.661438399,14,2721,1172.167018,242
1.763719517,7,245,1137.257804,22
1.822349092,12,815,1193.851078,76
1.73057778,5,2,1156.733147,0
1.845611887,6,200,1136.323236,15
1.782370774,5,2627,1134.282105,194
1.830740241,10,3945,1169.699418,284
1.780382052,0,2,1169.269834,0
1.878117837,2,1679,1124.805465,127
1.933757397,1,1166,1132.479757,90
1.806266836,4,1027,1130.190079,80
1.655025967,11,688,1171.271485,59
1.776029036,15,552,1212.873409,29
1.7752543,9,1109,1142.731678,76
1.938855587,7,68,1205.063896,12
1.866221369,3,81,1126.064876,11
1.692255656,4,644,1196.298823,56
1.847707201,1,675,1127.988281,51
1.815251922,0,1997,1146.361067,173
1.977140875,5,3,1207.53777,1
1.916399124,0,37,1125.083054,7
1.853928058,4,235,1127.855009,13
1.772023099,9,1600,1142.488555,133
1.604513433,15,609,1191.988264,46
1.648298142,17,1265,1193.023381,81
1.62476573,16,94,1188.099386,9
1.594525987,18,707,1204.854499,60
1.642293686,17,2054,1192.876781,156
1.806857956,13,2557,1199.648196,210
1.82232016,11,2,1178.569361,0
1.59750006,16,3635,1196.250002,293
1.704525502,9,211,1153.085386,14
2.00708272,3,739,1203.785265,57
1.814056357,4,2416,1128.788652,196
1.566957045,18,2,1213.139337,0
1.637656573,19,6367,1212.885594,511
1.991136335,2,10,1174.471792,2
1.666290337,13,263,1167.621351,26
1.615219332,12,1677,1191.362845,116
1.883298767,4,325,1133.844909,26
1.608573025,14,56,1190.14973,4
1.714036537,10,2,1150.322921,0
1.632853297,11,2009,1184.098185,156
1.703032731,13,3,1163.466863,0
1.775495687,15,245,1212.509031,17
1.571963652,17,1263,1208.787476,117
1.781090897,7,1244,1134.984619,115
1.8164524,7,3,1136.480072,1
1.864331824,4,63,1129.328841,7
1.842373919,1,206,1129.310197,14
1.989957403,0,733,1151.805207,52
1.67625046,8,1868,1171.615286,145
1.823945189,6,1091,1132.428697,95
1.926964819,4,384,1153.222047,24
1.665570964,16,303,1185.021755,23
1.928903841,8,861,1213.626781,76
1.692914643,5,111,1184.121993,15
1.760824243,2,102,1161.961341,14
1.802219192,2,166,1138.532219,14
1.693705561,18,2,1216.326133,0
1.887430324,3,151,1129.434393,12
1.644418544,10,690,1181.355541,50
1.611130254,18,446,1202.273022,33
1.855945663,8,1206,1158.447755,108
1.945779483,5,813,1178.915294,60
1.631264753,13,112,1179.835503,4
1.777276532,7,555,1135.313965,45
1.668755368,16,1201,1185.241534,95
1.688240938,13,53,1164.073266,4
1.698313779,18,1602,1218.429566,131
1.713450094,12,955,1157.418524,73
1.653075669,9,1214,1181.257233,110
1.844715201,3,1702,1125.664491,138
1.673600224,9,153,1167.934689,18
1.882501234,3,307,1128.387812,34
1.76571126,5,295,1139.581757,22
1.669324067,8,651,1176.367131,63
2.004076637,2,898,1185.510371,85
1.613618519,18,1851,1202.042159,136
1.563484609,19,2139,1218.173753,194
1.718993905,3,405,1184.100271,31
1.795815587,8,1105,1139.247316,79
1.720103631,5,97,1163.414927,6
1.887468831,8,2216,1178.000268,177
1.652991028,15,1381,1178.306572,104
1.857662235,6,1913,1139.82335,135
1.69558185,4,289,1193.161295,17
1.694071599,13,83,1163.662672,11
1.878287269,1,5,1124.014702,1
1.610578485,13,350,1190.833373,26
1.702697435,7,1317,1160.950417,88
1.802972815,8,2552,1140.287825,223
1.684989921,8,412,1166.069135,37
1.76378106,7,65,1137.246252,5
1.654828123,16,406,1184.771582,31
1.688564782,14,1003,1170.064519,83
1.729140087,15,2,1187.976323,0
1.834728776,3,3403,1126.511227,255
1.643970884,8,539,1196.447842,53
1.762458283,8,386,1138.835379,29
1.673084402,9,305,1168.235621,16
1.640499194,10,1006,1184.04898,76
1.58383919,15,842,1202.51739,72
1.641215702,7,204,1209.551986,14
1.795284214,14,925,1208.694304,74
1.661095752,14,1018,1172.224481,83
1.757786039,12,387,1162.852375,48
1.605142231,18,22,1202.995251,4
1.900232115,9,212,1204.74775,15
1.678875546,13,866,1165.200073,65
1.695374347,16,3042,1189.683628,224
1.661557006,5,235,1214.032015,20
1.759138321,2,1058,1163.154039,79
1.796451553,0,80,1157.720525,6
1.738473699,3,2061,1168.250574,171
1.575144886,17,1282,1207.366381,104
1.572130486,17,17,1208.711298,3
1.60552352,14,1800,1191.746929,147
1.938889257,4,612,1160.690189,45
1.620137847,15,2337,1185.893171,195
1.647577359,11,2,1175.220327,0
1.771618569,7,3,1135.97847,0
1.592330149,11,804,1215.882643,68
1.831483589,7,1418,1139.602874,113
1.578028296,13,89,1213.828539,4
1.844781861,5,319,1130.631848,38
1.773261074,5,339,1136.954216,26
2.067537148,0,769,1218.488129,45
1.615822694,14,3,1186.59783,0
1.659806027,12,98,1168.10209,9
1.857016058,8,817,1159.004646,68
1.683267853,14,526,1170.095403,41
1.672705771,4,1479,1216.208271,109
1.863920032,1,1279,1125.116745,110
1.580171851,16,577,1203.967246,51
1.660148013,10,3717,1171.560821,288
1.683901181,12,118,1160.965578,14
1.622650871,19,551,1211.040246,37
